# UTIAS Multi-Robot Cooperative Localization and Mapping Dataset
# produced by Keith Leung (keith.leung@robotics.utias.utoronto.ca) 2009
# Landmark Groundtruth Data Fomat:
# Subject #    x [m]    y [m]    x std-dev [m]    y std-dev [m] 
  6 	 1.50000000      -2.50000000     0.00001000    	 0.00001000
  7 	 0.50000000      -2.50000000     0.00001000    	 0.00001000
  8 	 2.50000000      -2.50000000     0.00001000    	 0.00001000
  9 	 -0.50000000     -2.50000000     0.00001000    	 0.00001000
 10 	 -0.50000000     -1.50000000     0.00001000    	 0.00001000
 11 	 -0.50000000     -0.50000000     0.00001000    	 0.00001000
 12 	 -0.50000000     0.50000000      0.00001000    	 0.00001000
 13 	 -0.50000000     1.50000000      0.00001000    	 0.00001000
 14 	 -0.50000000     2.50000000      0.00001000    	 0.00001000
 15 	 -0.50000000     3.50000000      0.00001000    	 0.00001000
 16 	 3.50000000      -2.50000000     0.00001000    	 0.00001000
 17 	 3.50000000      -1.50000000     0.00001000    	 0.00001000
 18 	 3.50000000      -0.50000000     0.00001000    	 0.00001000
 19 	 3.50000000      0.50000000      0.00001000    	 0.00001000
 20 	 3.50000000      1.50000000      0.00001000    	 0.00001000
